profile,topology,prompt,wire,ttft_mean_s,ttft_p95_s
metro,A_chain,1000,bf16,8.480778931205805,8.511815510509189
metro,A_chain,1000,int8,4.908353584498393,5.094660973203924
metro,A_chain,4000,bf16,30.859121134760763,30.86816271387605
metro,A_chain,4000,int8,17.206419916565928,17.245673731246644
metro,A_relay,1000,bf16,13.192444223625522,13.26808451453687
metro,A_relay,1000,int8,7.487780172903589,7.772498016385201
metro,A_relay,4000,bf16,47.87717499713315,47.92452296736876
metro,A_relay,4000,int8,26.03056306323836,26.05546561592775
metro,B_star,1000,bf16,245.34692878493422,245.51978207766527
metro,B_star,1000,int8,131.35858644308362,131.6378581622118
metro,B_star,4000,bf16,930.2114373000073,930.4160333790185
metro,B_star,4000,int8,475.17454313785413,475.4948065070021
researcher,A_chain,1000,bf16,8.854399103761137,8.987006033114627
researcher,A_chain,1000,int8,5.4432340445806835,5.541946416154242
researcher,A_chain,4000,bf16,31.18283960963272,31.315345540370185
researcher,A_chain,4000,int8,17.51998778942529,17.63059827758623
researcher,A_relay,1000,bf16,13.745508090639023,13.887352239314113
researcher,A_relay,1000,int8,8.29602879884919,8.45785332976012
researcher,A_relay,4000,bf16,48.38830288361734,48.5609869248284
researcher,A_relay,4000,int8,26.535409705040493,26.66747439849125
researcher,B_star,1000,bf16,252.15931195320917,252.88345258573753
researcher,B_star,1000,int8,138.48788091870466,139.5144048278692
researcher,B_star,4000,bf16,937.0929414369949,937.957475868958
researcher,B_star,4000,int8,482.0463562312561,482.95882574327766
intercontinental,A_chain,1000,bf16,12.911084782863682,13.407626199715894
intercontinental,A_chain,1000,int8,7.788331109639448,8.325436361538262
intercontinental,A_chain,4000,bf16,45.453514209660625,45.941815578754216
intercontinental,A_chain,4000,int8,25.02930023472238,25.599908435752152
intercontinental,A_relay,1000,bf16,20.256899538544793,20.829875780144615
intercontinental,A_relay,1000,int8,12.106415183089307,12.768000523749066
intercontinental,A_relay,4000,bf16,71.28108387127479,71.92991591197297
intercontinental,A_relay,4000,int8,38.51156057021092,39.165032596973504
intercontinental,B_star,1000,bf16,382.5595226242938,385.03883170551575
intercontinental,B_star,1000,int8,211.61551572248024,213.94723856568964
intercontinental,B_star,4000,bf16,1408.7180913407858,1410.8055776072192
intercontinental,B_star,4000,int8,725.9869110530329,728.3207552344988
